Savings,Checkings,CreditCard,Pin
93660.33,35680.43,5108754892359740,5715
24858.38,95499.31,5048376044572650,6999
31540.48,76785.18,5108759822703910,7533
41607.44,55948.63,5108756963644950,4152
99693.67,567.26,5048379789831530,1315
83782.87,88697.34,5048374460028020,5678
94098.93,72255.64,5048370262533440,8926
11110.64,47349.86,5108754324564820,9660
35851.84,42342.37,5048377240470590,7258
19271.95,1524.11,5108755992107000,1596
79930.27,31713.29,5108751447146680,8183
94728.30,58443.18,5048371520579710,1245
85477.47,74422.08,5108752130820690,8795
78122.73,5956.04,5048373865199410,5576
48027.65,32294.86,5048378229044690,4896
78696.93,4978.88,5048370000000000,3411
94406.02,25555.43,5048373845351730,6022
91566.93,78666.42,5048376991592680,8027
61494.31,66323.02,5108755357548660,4102
91682.73,24439.20,5048372699892950,3084
72233.72,22290.09,5108750355790500,4578
73202.38,91728.26,5108753791828460,2815
42637.39,46627.85,5048380000000000,3802
19868.66,78883.64,5048376027226930,9059
41093.78,72778.03,5108750000000000,7542
47861.70,13731.19,5108750000000000,9730
90740.40,81881.31,5048373770599770,2178
45330.92,30230.89,5048375095088750,2505
30139.81,61654.15,5108751276644690,1883
96062.30,89792.92,5048379418226160,8927
46023.07,45439.49,5108753505350610,5258
81490.35,63819.31,5048373400829160,7428
96264.26,33665.11,5108757852997950,3554
14542.66,68049.95,5108760000000000,6643
40925.80,13881.97,5108752682690270,5194
14250.12,8494.07,5108751808424660,8879
4204.12,34115.79,5108750000000000,8516
96564.89,68885.43,5108753072360790,1360
87856.77,1814.85,5108752359714300,5194
22543.15,54274.26,5108755043367820,6760
88072.49,43000.47,5108755571502480,9002
63251.87,11985.60,5048377300712610,4673
39212.61,52760.02,5108750622185790,1750
26684.88,55869.09,5108751131642830,1025
35521.09,40182.32,5108753395348510,3692
68637.61,59340.38,5108752510690070,1907
58404.24,69293.89,5108751492901170,3032
69338.83,36677.83,5048370402127770,7346
94015.45,91647.37,5048376584384120,6715
43411.81,10653.17,5108755053521610,6581
7288.61,27208.93,5048374930705270,8431
48471.45,75712.82,5108753890656680,9162
96992.89,28083.56,5048378501108510,8446
806.31,46714.19,5108759795617960,3517
19026.62,91923.62,5108756860640100,6513
27058.04,59079.71,5108751057107980,2986
84791.23,49622.55,5048377019403110,2464
25260.91,79749.16,5048373652439060,6909
12640.99,70760.02,5048372740387830,4803
67248.79,68640.39,5048376938241900,1237
77314.07,35174.14,5048377657752380,8692
66530.68,8841.77,5108750875421370,9299
48400.39,92573.13,5048376811884350,5738
29712.26,12533.42,5108751800811770,1337
87387.14,86964.45,5048376310387190,6251
39531.01,2181.86,5048379525433330,7400
39452.62,91368.54,5048375041956600,8079
90507.91,61902.79,5108750000000000,1316
66149.81,62471.71,5108754480503960,5563
13851.41,68044.71,5108759647619810,2874
53531.79,69503.82,5108752337955800,2731
99055.31,7474.74,5108750000000000,8119
36613.62,58277.03,5108750650509260,7628
33931.08,50331.68,5048378748626140,7758
71199.19,36883.52,5048379103003070,3144
85715.26,99914.17,5048376180158680,5421
98726.83,20184.80,5048380000000000,9537
72508.11,52446.62,5048376960068940,8558
96064.11,2252.16,5108751736062070,2310
78308.08,76202.03,5048379926546080,8501
80743.21,43656.08,5048372166415780,9943
95165.19,91786.84,5048374841794240,1259
38066.09,65834.40,5048374344615940,7201
31103.76,80339.88,5048372424027390,2740
92770.75,51979.02,5108755848940760,2456
61002.71,10473.34,5048375821401370,8015
60586.95,18730.36,5108751793030610,5938
63368.19,40227.12,5108751503767650,1087
91442.30,81998.50,5108757261623540,2255
83444.86,14585.08,5048375825726800,9157
91538.80,29188.15,5048374256664910,8319
89758.19,46458.63,5108759733342190,2206
18352.70,2644.65,5048377549880190,3398
79380.65,28011.14,5048377414825900,8489
44057.16,52131.41,5048378731710140,6897
31565.51,63937.18,5108751897113840,5251
27044.24,22338.82,5048373173699110,1386
2804.80,21707.92,5048371694995010,1484
63230.21,94748.37,5048373386635760,1355
15482.78,5111.30,5048372637084210,4410
81718.83,14591.45,5048371398029990,2840
17308.31,82925.38,5048378337163970,4425
76243.53,91721.44,5108750000000000,7757
29601.59,44521.69,5048380000000000,7695
28645.20,81830.28,5048377830531660,2053
64197.82,23794.04,5108757525654020,7621
89899.68,97055.34,5048373956709700,5127
37822.79,11494.82,5048370155715350,8248
87957.77,13049.20,5108755148547590,2162
37447.37,92081.60,5048373576059790,4857
1333.51,43835.14,5048370108593440,3621
79488.68,40797.98,5108756162406440,8245
28930.80,33039.77,5048371872995140,6960
27763.80,37444.87,5108754526047870,9948
86132.33,30432.38,5048379396963170,1165
44245.39,3961.64,5048370000000000,3292
6845.86,92720.96,5048377933679700,2249
55001.29,4939.32,5048371635728920,4370
46865.73,66982.26,5048380000000000,2511
19190.09,37417.86,5048370794309250,7378
24169.15,24616.24,5048378953813200,3920
24568.60,73995.44,5048370000000000,4138
78412.69,55365.26,5048373946502200,9454
78515.98,39400.58,5048380000000000,7352
77268.94,1822.52,5108752206119230,5713
31219.21,68778.00,5048379240186430,4883
78669.52,62433.63,5108756198766760,2546
30140.99,85601.18,5108755761342480,4059
24404.28,68857.40,5048373306074480,8635
15498.00,43039.38,5108755810084390,7858
15704.11,48327.54,5108750827272340,1925
99297.47,98463.88,5048370780249670,8125
48520.52,69802.00,5108754214204880,8795
84849.33,25876.49,5108759812125000,4005
90067.53,98516.21,5108756711786330,4670
36012.61,85946.29,5048375893771800,2124
29542.15,10440.43,5048372218029020,4193
87451.28,88834.56,5048380000000000,9495
91502.31,43980.07,5108760000000000,2687
46736.30,47411.49,5048374418695770,8676
21223.66,58512.32,5048378174911990,5817
63655.75,73756.79,5108754185192190,4076
80181.95,64735.13,5048371440024710,8255
14078.41,70618.76,5108755465394760,2140
24815.19,85160.66,5108757045577180,6879
96856.44,73098.11,5048373162397210,3202
40265.74,56888.70,5048371583226840,2716
23052.54,29537.76,5108750000000000,6155
33837.33,27741.63,5048375553398130,6301
49205.73,31923.29,5108759402132470,9601
58040.96,99283.71,5048370894382800,2685
93273.74,35527.46,5048376289398200,4822
14844.24,64069.30,5048370000000000,8365
79741.90,58999.22,5048370000000000,5428
40898.55,2115.09,5108750853891360,6313
55379.66,17468.45,5108755621027950,7743
74960.86,60996.46,5108752962120400,6352
20175.65,80353.61,5108760000000000,8102
54200.84,69874.15,5048370363096310,2842
56422.33,22872.07,5108750861079210,4911
95297.51,47764.12,5048379767634010,9163
25943.73,91341.06,5108755353131770,8145
29812.49,56368.94,5108750000000000,9241
26629.90,21402.80,5048372531893230,7943
46933.63,23780.82,5048379187158040,5833
97851.28,58968.22,5108751936989170,5195
62995.03,17218.07,5108759110608120,6039
45618.72,79491.85,5048371308150970,3060
10802.68,59196.51,5048373345283660,2889
41686.50,82452.13,5108752372397080,2082
40330.02,94954.11,5108756872847140,2373
87605.60,39957.27,5048376898662370,8393
49528.70,62076.12,5048375774682290,6560
7307.81,32781.89,5048370760671330,9207
82263.52,39025.83,5108759399468250,8215
55327.68,95919.32,5048380000000000,7588
86347.73,39358.30,5048376143975860,3468
2862.21,68209.20,5048373673113210,8848
56295.01,80293.78,5108754448229950,3756
3533.62,86169.57,5108754843000650,3041
84983.15,73044.28,5108750361992570,3864
48791.92,24678.96,5108758653208780,2208
11094.41,13879.33,5108755379458210,2562
50862.01,80241.55,5048379977165640,2580
98805.44,38632.97,5048379861060650,8339
68993.30,70494.97,5108759474272100,1612
10629.85,25928.71,5108755077888150,4850
221.67,65348.82,5048379989076710,1358
39752.08,74704.40,5108759789884250,7396
87831.46,75071.48,5048379193188540,2725
55891.33,20801.13,5108752939381300,1773
4435.87,42905.01,5108752074702670,1183
41706.68,75224.05,5108760000000000,6195
49432.93,83781.22,5108751635455240,7906
55422.06,94250.81,5048375494007610,9685
4803.69,79411.69,5108752099616550,7992
66605.79,11782.04,5108757123978360,6755
55242.15,55737.48,5108760000000000,1361
55578.37,50986.34,5108758605331850,2623
56399.04,42245.96,5108756379855100,2503
78265.15,32300.79,5048374258207700,4518
27236.87,5985.94,5108750000000000,9245
92253.60,54884.19,5048370265633980,7031
91031.59,60499.31,5048370040182210,4561
10059.78,17966.87,5108755289464230,3471
78415.98,11798.84,5108750586360150,5002
69546.65,2739.84,5048376849274810,9625
5516.28,64540.69,5108751341977160,7919
92184.57,35637.23,5108751475415570,4380
12317.97,16436.51,5048374703476120,4253
74024.56,1527.78,5048375949592220,3919
4484.22,90801.11,5048379658244250,1951
12920.63,88857.99,5108760000000000,3597
55808.95,99381.80,5108754186502830,8241
42216.85,38361.41,5108759400960530,6347
13870.47,47920.28,5108753646218690,8169
45260.74,57182.41,5108758404425550,6921
52394.00,22119.07,5108759520513080,2081
32427.62,74067.06,5108758465023400,2292
36547.74,67855.94,5048372659568080,4061
6076.96,72052.81,5048375918888480,4986
84503.92,62110.76,5108752601361410,2560
35353.39,35734.75,5108750000000000,8390
77306.00,30015.04,5048370063545910,2037
63336.83,82753.34,5048371271371300,5375
43546.28,28404.86,5048373968846920,6311
9334.32,29989.62,5108756240604800,3940
6068.63,19244.72,5108750000000000,6533
18742.99,76483.45,5048380000000000,9900
51772.13,32377.48,5048380000000000,2779
95999.74,71643.91,5048376631831090,5939
19836.26,99289.46,5048373221710080,2016
15226.22,73183.45,5108754991074620,6830
73647.51,18191.17,5108751925363340,5501
13028.87,63802.04,5108757195860210,4478
90543.17,77423.47,5048376626135830,2326
77896.83,35682.32,5108754531469280,2958
13245.09,37085.22,5048378093192050,6283
43928.11,86770.39,5048372115015190,2125
67997.56,34194.39,5048370651396340,5050
94469.63,84505.95,5108757721484380,7151
45501.20,53138.54,5108753615700830,8829
68245.52,17006.70,5048377010164360,9478
32541.34,78827.15,5048377089572340,3947
7861.64,27325.55,5048378213703830,1759
60941.72,4132.98,5048378661640120,3731
40493.53,31825.29,5108756617831420,4016
4117.10,43511.98,5108750000000000,5941
11409.82,19312.90,5048371638812040,8359
29709.51,45130.18,5048374676948380,3346
48125.40,16690.64,5108759635762040,4133
8764.38,10734.32,5048372618041370,5714
52477.47,49953.77,5108755344028850,2478
12195.57,4502.48,5048374116710630,5184
63941.92,40522.19,5108750546636410,3049
65889.02,74196.87,5048376822976150,7245
44158.03,45175.13,5048370707836790,7537
55783.46,79977.60,5048373185193420,4106
67450.40,56201.80,5048379016454050,4339
22368.53,75229.19,5048377618263120,2820
49617.02,24243.89,5048370397010260,4311
35430.73,93026.41,5108756500902170,5134
28519.51,1415.89,5048370000000000,7027
44657.91,19558.87,5048372433315410,8965
71788.61,65233.10,5048378487355990,3147
21364.71,22495.82,5048371925296330,1563
48934.78,35952.12,5048377975409180,4762
92862.21,29005.65,5048375643572490,9399
10256.23,68295.92,5108751412124390,5454
36746.45,60917.63,5048371081896380,4302
8212.88,77802.62,5108754835637970,4324
69668.23,55210.36,5048379004161180,9709
96139.43,33361.48,5108755160076030,8634
34829.92,22022.30,5048376941271210,9849
26894.21,26643.28,5048371649524990,5840
1557.98,13876.40,5108750087186700,1061
37429.86,41607.08,5048373575464620,8929
46755.17,3331.91,5108752628063680,8581
2963.86,29389.77,5108759110502140,8903
33353.37,53676.03,5108750102933420,8281
34124.33,17907.72,5108760000000000,1280
55223.81,67750.24,5048375756657270,6433
96183.38,94430.16,5048377327100050,3628
76155.55,91373.49,5108756309881830,6761
29729.91,86122.79,5048379553661470,8086
73005.17,82039.60,5108750000000000,9433
68688.62,33334.34,5048374215123100,1690
39152.61,45665.57,5048370002964240,7603
20921.32,48182.28,5108750000000000,6459
54642.59,47827.18,5048376998451340,2442
41639.67,76369.86,5048379295176380,5560
79284.29,69450.01,5108757927385230,8847
94540.82,36999.51,5048376868214910,2230
73250.79,61990.93,5108754833830770,6756
11526.04,985.83,5108751015336270,5993
4238.29,80762.15,5048376210766040,2673
56982.59,91014.28,5048379795199350,5323
9722.90,24039.00,5108756881460880,4426
26677.18,80460.13,5108752648273790,8640
83297.66,43229.30,5048373958564930,5836
687.16,26100.91,5048374959600110,6827
40387.42,44353.99,5048373539259400,5377
3652.29,47500.33,5048377374232670,3938
35185.25,29504.46,5108758023036500,6606
27506.08,96699.26,5108757443207800,7247
63094.21,10237.39,5108754072908790,4427
18913.80,70533.75,5108751457161150,4645
41861.24,59270.52,5108758320566180,3961
98833.42,21508.70,5048371245702100,6139
33202.80,65956.60,5048370061839020,2333
79980.66,98380.67,5108751261537040,8771
4371.29,5280.05,5108754709659980,1609
55511.83,59118.12,5108758236233260,4554
48916.39,31387.75,5108756039826500,8823
14574.34,78946.59,5108752642570320,4805
46637.90,78330.66,5048380000000000,8367
85827.29,47932.76,5048377057507590,7648
64571.71,7445.44,5108759136218320,9620
66154.19,88799.20,5108760000000000,2220
29852.37,57146.24,5048379520841570,5796
48007.65,97746.23,5108750682562430,1007
24351.79,60523.95,5108753162922260,1814
16428.80,3389.04,5108755537520090,9615
57590.53,57520.88,5048380000000000,1774
18776.51,14349.53,5048372270869450,8798
89661.48,84172.57,5048375727095730,8705
90127.74,2245.19,5048378630701840,5300
24249.56,91143.64,5108753570707180,3530
7459.65,11745.50,5048371612387650,2387
14546.37,62056.48,5048373507429630,3063
85364.10,72944.77,5108758145400930,4395
64402.22,90907.65,5048379345752420,2516
96557.79,11781.15,5048373799968980,7153
89418.34,78575.61,5048374667624720,5384
52474.96,44144.46,5048374397702330,7969
51103.22,24573.88,5048377592514420,7549
89840.63,4763.91,5108757803743820,7791
58359.91,96758.29,5108754899495890,4386
11936.38,12146.59,5108752667919210,2259
86317.67,1935.21,5048374333287310,3368
3901.98,78541.29,5108751535536550,3703
78895.87,55555.11,5048370000000000,8542
50145.68,42714.58,5048376846393460,4230
21202.57,54912.29,5108750723164400,4494
1239.51,10038.27,5048374419241670,5572
90372.69,2044.26,5048376906605350,4973
85919.74,33939.52,5048373446481510,8834
99689.43,65494.19,5048370562070130,6821
35315.82,20506.21,5048379038519670,1188
8138.68,42902.09,5048379485279530,9226
78281.83,11999.79,5108751703576050,9060
72165.98,10150.15,5108750083688700,2629
76552.88,72163.30,5108753591801870,3823
69868.15,68561.17,5108750353126570,8997
16395.98,81814.56,5108758149247850,9318
43669.26,46143.55,5108752782587720,1578
12931.16,95110.22,5048373736530310,3084
65695.48,56624.06,5108750000000000,8721
29045.29,46107.17,5048379270383460,8210
19317.55,39937.00,5108755768021220,9638
57660.96,36207.01,5108755975323950,1080
89839.83,43897.42,5048372249983520,8635
65653.58,92097.61,5108750671148050,7950
29007.65,68524.84,5048375240812530,7851
53011.46,67334.36,5048372987240440,5246
75153.53,64729.52,5108757751263970,2183
4222.47,60485.64,5108758506632700,3036
48132.70,32057.67,5048378302238280,3219
55070.38,20495.21,5108752383158110,1512
98715.58,35738.99,5048380000000000,6741
63457.02,4460.40,5048376609130850,9886
30841.62,24329.93,5108755340568520,5190
67273.60,13507.44,5048375599018150,4914
10230.38,37487.89,5048378526356670,4522
43795.92,84629.07,5048371873709120,1451
63965.87,47576.96,5048374696735170,4946
23080.29,7572.81,5048376030520790,7435
93372.44,33329.51,5048378014710800,8538
65495.57,96766.69,5048372569298260,1517
27673.42,17182.84,5048370066537310,1151
46827.71,92630.41,5108753542653140,4716
8487.58,4363.93,5048370000000000,3204
96856.04,41981.11,5048370949890930,8364
92716.25,66216.60,5108759347023360,9730
6345.78,29097.89,5108760000000000,5965
67917.41,1731.95,5048375986717180,5103
87721.88,59295.44,5108755326594580,4530
89548.67,11745.60,5108750599217640,7642
14353.35,49531.48,5108751664083210,3818
6942.46,98687.64,5048370644671150,1365
7013.49,44878.21,5048379804323380,9574
35245.79,88493.80,5048374533015020,8090
2144.16,18723.12,5048375682363250,3741
44961.61,82103.19,5108755618491410,9713
95953.68,87719.17,5048371675111140,5014
89209.11,89813.91,5108756154068960,3712
1653.81,29829.34,5108754101093560,1270
41470.48,87184.98,5108754393489750,4325
91972.47,25432.69,5048370000000000,2491
50900.61,75481.33,5108753981386200,7380
47009.52,3146.95,5108758472509880,1056
68118.16,44740.90,5048370000000000,7513
32279.88,71923.79,5048375343854220,6601
14366.24,99785.97,5048370391618250,6170
36490.42,68626.76,5108756681598770,4654
44469.20,19624.00,5048378512854900,1809
53024.06,68685.89,5048372491333060,9660
23709.54,94264.41,5048372769208970,3338
48207.73,61442.22,5108753686023260,9504
7959.32,59572.01,5048375162801660,5645
4528.76,96815.56,5048376400718820,1653
67503.52,32659.14,5108756397151970,6508
28270.77,95466.33,5048377156674500,3053
49179.30,27408.05,5048374599581090,2120
83924.69,19453.56,5108750000000000,3084
3897.03,56710.95,5108754405750900,8178
8070.51,65341.33,5108752552123330,6510
65021.90,41440.03,5108752441829110,9599
21454.14,29067.54,5048380000000000,8264
98987.33,57079.15,5048371323637300,2759
78117.77,94498.44,5048370000000000,3984
72400.41,27439.17,5108750000000000,5405
88250.53,7884.82,5048373195512850,6161
75654.35,80237.32,5048380000000000,2768
45729.21,78530.88,5108752534591590,8841
4422.08,91154.95,5108753719922410,4901
59534.63,26828.63,5048375169115570,3487
96097.74,57195.16,5048377800564570,8148
73714.45,71741.89,5108750751481590,5434
3282.41,21097.27,5108760000000000,1282
42639.51,91711.17,5108759870959080,4138
85052.36,14581.69,5108753097403630,3517
67789.90,75292.75,5048379924342250,8872
16137.40,87965.33,5048376540152220,3097
39315.72,61004.30,5048376687481550,6508
40839.79,37154.07,5108753302334680,4727
59603.23,24852.72,5048372013654150,7818
62445.35,26523.72,5048375890471970,5240
95583.98,67684.58,5048371615663990,5323
78452.82,88094.63,5048376234148020,9206
39456.85,58493.78,5108750000000000,3649
37896.62,29387.47,5048375462245280,3480
63063.49,63175.53,5048374145300940,7984
33964.87,33642.16,5048374269585240,6859
66184.15,49969.14,5108750688964120,3282
22361.83,79383.10,5108759812314870,4929
42131.75,29476.63,5108750000000000,8465
91202.50,38449.19,5048370000000000,5337
43311.72,96318.02,5108751206535220,5434
95410.73,71197.74,5048378296968840,3840
32615.82,67682.82,5048373166800910,4246
74922.04,8694.90,5108758301813170,7455
11699.44,27649.53,5048370673052470,9496
56227.33,68192.70,5048371691916380,7673
89030.83,90935.82,5048379748690120,1613
25570.46,84372.42,5108756692728560,5402
42954.70,5838.21,5108750000000000,5666
7728.69,89870.90,5108756569103260,9820
4870.23,33850.33,5108753494910910,8687
67324.54,1678.36,5108750235336440,5267
76256.79,46089.95,5048374124204230,2618
20690.81,9056.65,5048372266614130,5907
31701.38,68923.37,5108754943463990,7513
97074.09,65999.16,5048376636675430,7221
98117.43,91909.77,5108757480181470,5225
4304.67,48261.82,5048379954544240,9306
93196.51,13874.06,5108752687175850,6402
67662.58,98100.80,5048378084003660,3765
44162.41,96015.01,5108758692502960,8079
75688.88,4329.39,5048376352475280,8644
17570.20,49215.45,5048379043601810,1864
55259.60,69154.61,5108756154693080,6033
40563.60,67353.98,5108760000000000,8485
71518.06,97167.75,5108753025304950,3607
88308.00,31537.24,5048370000000000,8617
56248.60,25738.52,5108751598403710,8910
43726.79,13489.07,5048371080301480,7045
19537.58,46213.28,5048373310720500,9278
82781.01,41796.50,5108750000000000,8356
78846.21,84316.12,5108750493516950,7682
88330.85,46984.94,5048380000000000,3536
25215.63,50374.79,5108755872375860,6803
4767.73,75979.14,5108753977944020,3672
43624.89,40561.12,5048378954454780,9701
70775.73,77546.29,5108752012140710,5247
20189.78,6951.41,5108755691935260,1995
88243.48,56799.92,5048370565416610,1838
34522.22,53670.91,5048374586983660,4712
92546.27,80164.14,5108756313496080,8692
61835.21,57245.31,5108754309360270,5150
81200.57,36734.11,5048376672202670,8319
84436.47,39330.53,5048372677051760,5739
21516.56,66929.21,5048380000000000,3718
20336.70,25530.24,5108757216946540,5760
44426.31,57545.47,5048379870591160,1004
34776.15,77258.54,5108755630333980,6948
37432.56,26295.04,5048374894727890,8401
59798.19,60270.56,5048376338820320,3462
17172.24,32851.54,5048376716388900,5211
98538.58,5580.95,5048371166486960,6138
64334.66,45551.35,5048374065265320,4732
85565.72,16383.77,5108751483862620,3002
34262.80,36809.02,5048377054736700,2348
57449.27,12087.29,5108750671827710,9554
8639.23,23967.86,5108760000000000,8893
63340.60,50124.75,5108752366533730,6758
22322.60,34622.41,5108758477427520,1570
58624.31,81615.31,5048371345115710,1761
19361.20,28682.05,5048370000000000,1721
52527.30,73014.21,5048371282196210,2353
57196.18,42229.82,5048373997257440,3373
99425.66,24955.67,5048375755722380,9979
99015.09,96499.74,5048377084615020,9357
54384.73,33924.46,5048378609043240,7189
17138.06,67669.01,5108750095009380,3835
67289.81,1768.11,5108752967251130,8464
78233.74,26383.82,5108752417571380,9541
65756.70,43336.23,5048379741707900,5310
49723.27,20020.10,5108755599007010,9242
69974.82,89519.96,5048379161121990,5348
99768.65,50400.19,5048372847205150,3764
17267.29,87100.62,5048374313744240,6189
77382.95,47145.72,5048379253338940,1651
30123.11,65545.65,5108753240521560,6554
63142.66,74046.91,5108754141112790,2482
85025.45,28689.25,5048375647973880,8906
99155.29,48611.30,5048375501162940,2071
93989.85,47192.57,5048379148586070,4433
48468.68,29290.64,5108755877456990,2090
676.47,21845.20,5048376403207590,5760
21736.15,74364.34,5108750639449220,1372
85545.84,43426.79,5108756227688400,8557
15931.86,13439.08,5048378035231950,7650
37315.16,68476.63,5048371824944660,6124
91138.58,24273.08,5108759362954610,9488
82974.57,45510.93,5048371102327520,6934
46315.55,16005.15,5048376876004290,8363
18575.91,23657.87,5108756717525610,4643
21234.40,56299.64,5048377184340820,8136
29621.18,7711.69,5108759282171180,6412
42556.62,53500.15,5048370643675340,7203
53024.89,63128.38,5108752997573680,7504
43871.54,15351.56,5048378993089320,2050
85.06,97193.79,5108754683541840,9487
1555.72,14124.41,5108756680211250,3750
68026.83,46761.53,5048374322533070,7476
11819.25,43017.96,5108751865201120,7837
15043.62,84453.77,5048370899661030,1138
96542.65,64623.43,5108753470067230,5836
4353.22,53327.59,5108752927900400,2093
1915.69,37855.89,5048378651314080,3140
30511.92,35450.62,5108757835206260,8846
80773.70,75924.33,5048370000000000,1422
37290.99,93909.33,5048370000000000,3971
57639.68,5435.26,5108751344874660,7967
84468.38,74716.57,5108753947972150,7813
1881.96,28737.18,5048374988700840,9122
53333.93,98325.54,5048377305311680,3951
91840.57,21797.98,5108752704728520,9147
94115.89,41228.22,5108750643426910,1034
7935.99,72670.90,5108752103298780,4827
19666.28,75187.45,5108753813598570,7268
20206.97,36684.42,5048377679277890,4481
1669.53,65675.50,5048379658829240,1512
94267.94,97564.09,5108750000000000,9120
90328.78,27622.63,5048371786034180,3665
57296.13,50053.00,5048377166404980,6297
89081.62,69629.79,5048377375817180,5420
741.92,13909.41,5108750473839060,7839
39041.57,43924.78,5048376230520230,2487
212.37,43082.01,5048376825631420,8593
48152.21,42007.72,5048373869621230,4549
59304.47,75094.41,5108750018005360,1873
18223.16,11751.11,5048376078655970,1121
90990.36,78992.35,5048376724040380,2422
91468.90,59032.02,5108750757315360,3818
1847.98,18042.39,5108750600174920,4919
19268.79,31358.73,5048377433861900,1089
57501.47,44030.34,5108756985188540,6174
90320.20,22650.38,5108755537926090,6321
49596.95,60193.20,5108755408088740,3845
24467.39,32330.26,5108760000000000,4979
10745.83,38493.84,5108755809183650,7876
6168.04,53032.37,5108759586651260,7403
52875.28,41795.41,5108751751332760,9962
3665.79,37136.86,5048375720108130,3008
50843.84,98919.89,5048380000000000,8082
13260.05,58400.82,5108759328340040,4291
92311.34,59897.65,5048375200570810,7457
76981.29,36487.43,5048370613937980,4122
60627.92,79345.07,5108755109651880,2445
62752.22,8892.51,5048379466745590,8777
7364.11,74729.52,5108755624196800,4555
17858.52,66048.91,5108759037541130,7497
55706.85,21904.92,5048372610515170,4342
54520.57,65700.32,5108754092388070,4658
76775.44,31137.03,5108750278892820,2723
86127.16,97923.79,5108752355085590,6738
93757.51,70923.60,5108753525866810,9535
41039.96,38557.12,5108752043464550,9655
65825.52,83332.11,5048371825762450,6629
84694.52,41052.35,5048371763609880,1752
23004.58,56025.67,5048377358509190,2720
82530.89,82640.62,5048372804191970,5493
99277.11,46215.90,5108759476930060,1034
46608.35,42658.05,5048373063522130,2636
14452.83,62545.75,5048373071026750,8059
11678.77,84731.43,5048378092442350,1232
81823.30,60735.37,5108755327874760,6098
54828.16,48484.88,5108751063084800,7078
44389.25,81371.94,5108758587720140,2236
12513.38,85558.43,5048375641945350,3507
60468.04,58499.31,5108755548048900,7759
80235.16,71407.71,5108750452961780,5068
4482.50,32276.64,5108750000000000,6852
31077.08,81930.63,5108759674201980,2117
42468.21,45103.55,5108751554940090,5718
15647.69,46863.91,5108757460812970,6240
95475.92,84999.15,5108758732851910,2494
73469.29,7914.13,5048375355647200,9008
37987.70,14616.11,5048377716140980,7298
85869.88,9384.87,5048379090592330,5845
82738.48,895.57,5108752155273020,3348
74666.54,35417.67,5048375906234640,6846
47568.82,63231.41,5108751893570330,4124
